,Year,Category,Quantity,Miss,FalseAlarm,Exchange,Shift
0,1985 to 1986,Agriculture,279841.0,0.0,279841.0,162456.0,56181.0
1,1985 to 1986,Beach and Dune,254.0,0.0,254.0,69.0,44.0
2,1985 to 1986,Forest Plantation,3.0,0.0,3.0,310.0,497.0
3,1985 to 1986,Grassland,247413.0,247413.0,0.0,64700.0,69521.0
4,1985 to 1986,Mining,0.0,0.0,0.0,7.0,2.0
5,1985 to 1986,Mosaic of Agriculture and Pasture,1.0,0.0,1.0,0.0,0.0
6,1985 to 1986,Natural Forest,96809.0,96809.0,0.0,187806.0,47049.0
7,1985 to 1986,Non Observed,0.0,0.0,0.0,6.0,2.0
8,1985 to 1986,Other Non Forest Natural Formation,0.0,0.0,0.0,0.0,-0.0
9,1985 to 1986,Other Non Vegetated Area,31341.0,0.0,31341.0,81104.0,15759.0
10,1985 to 1986,Pasture,48893.0,0.0,48893.0,262689.0,47907.0
11,1985 to 1986,"River, Lake and Ocean",4344.0,4344.0,0.0,4951.0,295.0
12,1985 to 1986,Rocky outcrop,0.0,0.0,0.0,0.0,0.0
13,1985 to 1986,Salt flat,9.0,0.0,9.0,17.0,11.0
14,1985 to 1986,Urban Infrastructure,11775.0,11775.0,0.0,4.0,0.0
15,1985 to 1986,Wetland,1.0,0.0,1.0,0.0,-0.0
16,1986 to 1987,Agriculture,116591.0,0.0,116591.0,134751.0,42275.0
17,1986 to 1987,Beach and Dune,50.0,0.0,50.0,60.0,2.0
18,1986 to 1987,Forest Plantation,16307.0,16307.0,0.0,604.0,160.0
19,1986 to 1987,Grassland,73278.0,0.0,73278.0,93352.0,24867.0
20,1986 to 1987,Mining,5.0,5.0,0.0,1.0,1.0
21,1986 to 1987,Mosaic of Agriculture and Pasture,2.0,2.0,0.0,2.0,1.0
22,1986 to 1987,Natural Forest,480602.0,0.0,480602.0,544456.0,94307.0
23,1986 to 1987,Non Observed,1.0,1.0,0.0,7.0,1.0
24,1986 to 1987,Other Non Forest Natural Formation,0.0,0.0,0.0,0.0,-0.0
25,1986 to 1987,Other Non Vegetated Area,41880.0,0.0,41880.0,56849.0,20475.0
26,1986 to 1987,Pasture,701204.0,701204.0,0.0,601537.0,30418.0
27,1986 to 1987,"River, Lake and Ocean",15356.0,0.0,15356.0,5835.0,96.0
28,1986 to 1987,Rocky outcrop,0.0,0.0,0.0,0.0,0.0
29,1986 to 1987,Salt flat,0.0,0.0,0.0,2.0,2.0
30,1986 to 1987,Urban Infrastructure,10238.0,10238.0,0.0,5.0,0.0
31,1986 to 1987,Wetland,0.0,0.0,0.0,0.0,0.0
32,1987 to 1988,Agriculture,171869.0,171869.0,0.0,150906.0,3414.0
33,1987 to 1988,Beach and Dune,179.0,179.0,0.0,127.0,8.0
34,1987 to 1988,Forest Plantation,21729.0,21729.0,0.0,285.0,238.0
35,1987 to 1988,Grassland,85830.0,0.0,85830.0,91816.0,0.0
36,1987 to 1988,Mining,24.0,24.0,0.0,5.0,1.0
37,1987 to 1988,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,2.0,0.0
38,1987 to 1988,Natural Forest,927984.0,0.0,927984.0,394459.0,63460.0
39,1987 to 1988,Non Observed,3.0,0.0,3.0,4.0,2.0
40,1987 to 1988,Other Non Forest Natural Formation,0.0,0.0,0.0,0.0,0.0
41,1987 to 1988,Other Non Vegetated Area,22263.0,0.0,22263.0,38914.0,27837.0
42,1987 to 1988,Pasture,826060.0,826060.0,0.0,540177.0,12663.0
43,1987 to 1988,"River, Lake and Ocean",2878.0,2878.0,0.0,3444.0,184.0
44,1987 to 1988,Rocky outcrop,0.0,0.0,0.0,0.0,0.0
45,1987 to 1988,Salt flat,2.0,2.0,0.0,48.0,17.0
46,1987 to 1988,Urban Infrastructure,13337.0,13337.0,0.0,3.0,0.0
47,1987 to 1988,Wetland,0.0,0.0,0.0,0.0,0.0
48,1988 to 1989,Agriculture,604567.0,604567.0,0.0,189709.0,2152.0
49,1988 to 1989,Beach and Dune,383.0,383.0,0.0,92.0,-0.0
50,1988 to 1989,Forest Plantation,7751.0,0.0,7751.0,25440.0,821.0
51,1988 to 1989,Grassland,144131.0,0.0,144131.0,83134.0,24380.0
52,1988 to 1989,Mining,535.0,535.0,0.0,34.0,-0.0
53,1988 to 1989,Mosaic of Agriculture and Pasture,1.0,1.0,0.0,2.0,1.0
54,1988 to 1989,Natural Forest,1021215.0,0.0,1021215.0,293799.0,30398.0
55,1988 to 1989,Non Observed,1.0,1.0,0.0,3.0,3.0
56,1988 to 1989,Other Non Forest Natural Formation,0.0,0.0,0.0,0.0,0.0
57,1988 to 1989,Other Non Vegetated Area,12176.0,0.0,12176.0,38791.0,18460.0
58,1988 to 1989,Pasture,567273.0,567273.0,0.0,439140.0,262809.0
59,1988 to 1989,"River, Lake and Ocean",1727.0,1727.0,0.0,1977.0,620.0
60,1988 to 1989,Rocky outcrop,0.0,0.0,0.0,0.0,0.0
61,1988 to 1989,Salt flat,23.0,0.0,23.0,35.0,3.0
62,1988 to 1989,Urban Infrastructure,10809.0,10809.0,0.0,3.0,0.0
63,1988 to 1989,Wetland,0.0,0.0,0.0,0.0,-0.0
64,1989 to 1990,Agriculture,229395.0,229395.0,0.0,250314.0,3172.0
65,1989 to 1990,Beach and Dune,158.0,158.0,0.0,55.0,-0.0
66,1989 to 1990,Forest Plantation,16566.0,16566.0,0.0,52844.0,351.0
67,1989 to 1990,Grassland,85468.0,0.0,85468.0,95109.0,18707.0
68,1989 to 1990,Mining,13.0,13.0,0.0,4.0,1.0
69,1989 to 1990,Mosaic of Agriculture and Pasture,1.0,0.0,1.0,2.0,0.0
70,1989 to 1990,Natural Forest,757733.0,0.0,757733.0,301479.0,17963.0
71,1989 to 1990,Non Observed,3.0,0.0,3.0,4.0,0.0
72,1989 to 1990,Other Non Forest Natural Formation,0.0,0.0,0.0,0.0,-0.0
73,1989 to 1990,Other Non Vegetated Area,6569.0,6569.0,0.0,36731.0,22775.0
74,1989 to 1990,Pasture,581165.0,581165.0,0.0,480473.0,93024.0
75,1989 to 1990,"River, Lake and Ocean",1672.0,1672.0,0.0,1875.0,86.0
76,1989 to 1990,Rocky outcrop,0.0,0.0,0.0,0.0,0.0
77,1989 to 1990,Salt flat,49.0,49.0,0.0,20.0,0.0
78,1989 to 1990,Urban Infrastructure,7619.0,7619.0,0.0,6.0,-0.0
79,1989 to 1990,Wetland,0.0,0.0,0.0,0.0,0.0
80,1990 to 1991,Agriculture,209566.0,209566.0,0.0,258277.0,1124.0
81,1990 to 1991,Beach and Dune,916.0,916.0,0.0,321.0,2.0
82,1990 to 1991,Forest Plantation,147027.0,147027.0,0.0,1898.0,17.0
83,1990 to 1991,Grassland,83246.0,0.0,83246.0,94861.0,377.0
84,1990 to 1991,Mining,0.0,0.0,0.0,11.0,10.0
85,1990 to 1991,Mosaic of Agriculture and Pasture,1.0,0.0,1.0,2.0,1.0
86,1990 to 1991,Natural Forest,886072.0,0.0,886072.0,195055.0,14995.0
87,1990 to 1991,Non Observed,2.0,2.0,0.0,5.0,1.0
88,1990 to 1991,Other Non Forest Natural Formation,0.0,0.0,0.0,0.0,0.0
89,1990 to 1991,Other Non Vegetated Area,1170.0,0.0,1170.0,37058.0,28539.0
90,1990 to 1991,Pasture,588396.0,588396.0,0.0,440905.0,63766.0
91,1990 to 1991,"River, Lake and Ocean",16957.0,16957.0,0.0,2568.0,581.0
92,1990 to 1991,Rocky outcrop,0.0,0.0,0.0,0.0,0.0
93,1990 to 1991,Salt flat,740.0,740.0,0.0,79.0,9.0
94,1990 to 1991,Urban Infrastructure,6886.0,6886.0,0.0,8.0,-0.0
95,1990 to 1991,Wetland,1.0,0.0,1.0,0.0,-0.0
96,1991 to 1992,Agriculture,122345.0,122345.0,0.0,279028.0,73643.0
97,1991 to 1992,Beach and Dune,42.0,0.0,42.0,123.0,128.0
98,1991 to 1992,Forest Plantation,290.0,0.0,290.0,8327.0,2299.0
99,1991 to 1992,Grassland,35759.0,0.0,35759.0,103859.0,11885.0
100,1991 to 1992,Mining,12.0,12.0,0.0,4.0,2.0
101,1991 to 1992,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,4.0,1.0
102,1991 to 1992,Natural Forest,1113015.0,0.0,1113015.0,191792.0,14661.0
103,1991 to 1992,Non Observed,2.0,2.0,0.0,4.0,3.0
104,1991 to 1992,Other Non Forest Natural Formation,0.0,0.0,0.0,0.0,0.0
105,1991 to 1992,Other Non Vegetated Area,6435.0,6435.0,0.0,45401.0,25242.0
106,1991 to 1992,Pasture,1013422.0,1013422.0,0.0,423042.0,15291.0
107,1991 to 1992,"River, Lake and Ocean",940.0,0.0,940.0,2359.0,153.0
108,1991 to 1992,Rocky outcrop,0.0,0.0,0.0,0.0,0.0
109,1991 to 1992,Salt flat,1129.0,1129.0,0.0,102.0,0.0
110,1991 to 1992,Urban Infrastructure,6701.0,6701.0,0.0,8.0,5.0
111,1991 to 1992,Wetland,0.0,0.0,0.0,0.0,-0.0
112,1992 to 1993,Agriculture,175025.0,175025.0,0.0,377450.0,32149.0
113,1992 to 1993,Beach and Dune,334.0,0.0,334.0,98.0,0.0
114,1992 to 1993,Forest Plantation,19476.0,0.0,19476.0,18967.0,1418.0
115,1992 to 1993,Grassland,48695.0,0.0,48695.0,114279.0,12984.0
116,1992 to 1993,Mining,2.0,0.0,2.0,7.0,1.0
117,1992 to 1993,Mosaic of Agriculture and Pasture,2.0,0.0,2.0,1.0,2.0
118,1992 to 1993,Natural Forest,727229.0,0.0,727229.0,193055.0,24757.0
119,1992 to 1993,Non Observed,2.0,2.0,0.0,4.0,0.0
120,1992 to 1993,Other Non Forest Natural Formation,0.0,0.0,0.0,0.0,0.0
121,1992 to 1993,Other Non Vegetated Area,6233.0,0.0,6233.0,40279.0,24856.0
122,1992 to 1993,Pasture,613322.0,613322.0,0.0,494155.0,21529.0
123,1992 to 1993,"River, Lake and Ocean",330.0,330.0,0.0,2789.0,666.0
124,1992 to 1993,Rocky outcrop,0.0,0.0,0.0,0.0,0.0
125,1992 to 1993,Salt flat,43.0,43.0,0.0,71.0,18.0
126,1992 to 1993,Urban Infrastructure,13249.0,13249.0,0.0,5.0,0.0
127,1992 to 1993,Wetland,0.0,0.0,0.0,0.0,0.0
128,1993 to 1994,Agriculture,302721.0,302721.0,0.0,375561.0,1446.0
129,1993 to 1994,Beach and Dune,314.0,0.0,314.0,108.0,0.0
130,1993 to 1994,Forest Plantation,52872.0,52872.0,0.0,1208.0,0.0
131,1993 to 1994,Grassland,36386.0,0.0,36386.0,113375.0,15852.0
132,1993 to 1994,Mining,0.0,0.0,0.0,8.0,4.0
133,1993 to 1994,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,2.0,1.0
134,1993 to 1994,Natural Forest,970110.0,0.0,970110.0,194724.0,5482.0
135,1993 to 1994,Non Observed,1.0,1.0,0.0,4.0,1.0
136,1993 to 1994,Other Non Forest Natural Formation,0.0,0.0,0.0,0.0,0.0
137,1993 to 1994,Other Non Vegetated Area,2294.0,0.0,2294.0,35963.0,30351.0
138,1993 to 1994,Pasture,630951.0,630951.0,0.0,510544.0,73032.0
139,1993 to 1994,"River, Lake and Ocean",22130.0,22130.0,0.0,2623.0,397.0
140,1993 to 1994,Rocky outcrop,0.0,0.0,0.0,0.0,0.0
141,1993 to 1994,Salt flat,1391.0,0.0,1391.0,50.0,215.0
142,1993 to 1994,Urban Infrastructure,1819.0,1819.0,0.0,10.0,0.0
143,1993 to 1994,Wetland,1.0,1.0,0.0,0.0,0.0
144,1994 to 1995,Agriculture,248085.0,248085.0,0.0,354150.0,13064.0
145,1994 to 1995,Beach and Dune,266.0,266.0,0.0,146.0,16.0
146,1994 to 1995,Forest Plantation,23209.0,23209.0,0.0,9308.0,9.0
147,1994 to 1995,Grassland,79558.0,0.0,79558.0,107174.0,23085.0
148,1994 to 1995,Mining,2.0,0.0,2.0,6.0,11.0
149,1994 to 1995,Mosaic of Agriculture and Pasture,1.0,0.0,1.0,1.0,1.0
150,1994 to 1995,Natural Forest,1003047.0,0.0,1003047.0,194146.0,19437.0
151,1994 to 1995,Non Observed,5.0,5.0,0.0,7.0,0.0
152,1994 to 1995,Other Non Forest Natural Formation,0.0,0.0,0.0,0.0,-0.0
153,1994 to 1995,Other Non Vegetated Area,13461.0,0.0,13461.0,31986.0,33427.0
154,1994 to 1995,Pasture,809158.0,809158.0,0.0,499032.0,33761.0
155,1994 to 1995,"River, Lake and Ocean",3471.0,3471.0,0.0,6181.0,1154.0
156,1994 to 1995,Rocky outcrop,0.0,0.0,0.0,0.0,0.0
157,1994 to 1995,Salt flat,34.0,0.0,34.0,41.0,42.0
158,1994 to 1995,Urban Infrastructure,11911.0,11911.0,0.0,5.0,0.0
159,1994 to 1995,Wetland,0.0,0.0,0.0,0.0,0.0
160,1995 to 1996,Agriculture,341525.0,341525.0,0.0,354609.0,834.0
161,1995 to 1996,Beach and Dune,740.0,740.0,0.0,195.0,1.0
162,1995 to 1996,Forest Plantation,19958.0,19958.0,0.0,16747.0,849.0
163,1995 to 1996,Grassland,52986.0,0.0,52986.0,101098.0,31997.0
164,1995 to 1996,Mining,11.0,11.0,0.0,6.0,2.0
165,1995 to 1996,Mosaic of Agriculture and Pasture,1.0,0.0,1.0,2.0,1.0
166,1995 to 1996,Natural Forest,683595.0,0.0,683595.0,197796.0,713.0
167,1995 to 1996,Non Observed,1.0,0.0,1.0,9.0,1.0
168,1995 to 1996,Other Non Forest Natural Formation,0.0,0.0,0.0,0.0,0.0
169,1995 to 1996,Other Non Vegetated Area,13734.0,0.0,13734.0,26409.0,26251.0
170,1995 to 1996,Pasture,385556.0,385556.0,0.0,501691.0,142274.0
171,1995 to 1996,"River, Lake and Ocean",6201.0,0.0,6201.0,3010.0,17.0
172,1995 to 1996,Rocky outcrop,0.0,0.0,0.0,0.0,0.0
173,1995 to 1996,Salt flat,287.0,287.0,0.0,96.0,1.0
174,1995 to 1996,Urban Infrastructure,8441.0,8441.0,0.0,8.0,2.0
175,1995 to 1996,Wetland,0.0,0.0,0.0,0.0,0.0
176,1996 to 1997,Agriculture,418933.0,418933.0,0.0,269855.0,1004.0
177,1996 to 1997,Beach and Dune,5.0,5.0,0.0,73.0,100.0
178,1996 to 1997,Forest Plantation,17735.0,17735.0,0.0,3872.0,1267.0
179,1996 to 1997,Grassland,30464.0,0.0,30464.0,92698.0,28427.0
180,1996 to 1997,Mining,15.0,15.0,0.0,5.0,2.0
181,1996 to 1997,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,1.0,1.0
182,1996 to 1997,Natural Forest,786094.0,0.0,786094.0,166318.0,1.0
183,1996 to 1997,Non Observed,3.0,0.0,3.0,4.0,1.0
184,1996 to 1997,Other Non Forest Natural Formation,0.0,0.0,0.0,0.0,0.0
185,1996 to 1997,Other Non Vegetated Area,15336.0,15336.0,0.0,25260.0,23413.0
186,1996 to 1997,Pasture,298775.0,298775.0,0.0,399860.0,217632.0
187,1996 to 1997,"River, Lake and Ocean",59064.0,59064.0,0.0,2301.0,59.0
188,1996 to 1997,Rocky outcrop,0.0,0.0,0.0,0.0,0.0
189,1996 to 1997,Salt flat,772.0,772.0,0.0,14.0,0.0
190,1996 to 1997,Urban Infrastructure,5927.0,5927.0,0.0,9.0,1.0
191,1996 to 1997,Wetland,0.0,0.0,0.0,0.0,0.0
192,1997 to 1998,Agriculture,237752.0,237752.0,0.0,347722.0,3159.0
193,1997 to 1998,Beach and Dune,281.0,0.0,281.0,66.0,3.0
194,1997 to 1998,Forest Plantation,10999.0,10999.0,0.0,7265.0,341.0
195,1997 to 1998,Grassland,36711.0,0.0,36711.0,100695.0,39686.0
196,1997 to 1998,Mining,18.0,18.0,0.0,4.0,2.0
197,1997 to 1998,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,1.0,1.0
198,1997 to 1998,Natural Forest,703236.0,0.0,703236.0,175553.0,7312.0
199,1997 to 1998,Non Observed,1.0,0.0,1.0,6.0,2.0
200,1997 to 1998,Other Non Forest Natural Formation,0.0,0.0,0.0,0.0,0.0
201,1997 to 1998,Other Non Vegetated Area,10331.0,10331.0,0.0,42606.0,16159.0
202,1997 to 1998,Pasture,434187.0,434187.0,0.0,459470.0,83714.0
203,1997 to 1998,"River, Lake and Ocean",42436.0,42436.0,0.0,4142.0,1231.0
204,1997 to 1998,Rocky outcrop,0.0,0.0,0.0,0.0,0.0
205,1997 to 1998,Salt flat,686.0,686.0,0.0,48.0,-0.0
206,1997 to 1998,Urban Infrastructure,3820.0,3820.0,0.0,11.0,0.0
207,1997 to 1998,Wetland,0.0,0.0,0.0,0.0,-0.0
208,1998 to 1999,Agriculture,275540.0,275540.0,0.0,371985.0,1730.0
209,1998 to 1999,Beach and Dune,136.0,0.0,136.0,85.0,1.0
210,1998 to 1999,Forest Plantation,15170.0,15170.0,0.0,9566.0,109.0
211,1998 to 1999,Grassland,70353.0,0.0,70353.0,92287.0,30876.0
212,1998 to 1999,Mining,16.0,16.0,0.0,5.0,1.0
213,1998 to 1999,Mosaic of Agriculture and Pasture,2.0,0.0,2.0,2.0,1.0
214,1998 to 1999,Natural Forest,618948.0,0.0,618948.0,179386.0,5.0
215,1998 to 1999,Non Observed,1.0,1.0,0.0,6.0,1.0
216,1998 to 1999,Other Non Forest Natural Formation,0.0,0.0,0.0,0.0,0.0
217,1998 to 1999,Other Non Vegetated Area,7989.0,0.0,7989.0,37365.0,26392.0
218,1998 to 1999,Pasture,396108.0,396108.0,0.0,503464.0,104133.0
219,1998 to 1999,"River, Lake and Ocean",489.0,0.0,489.0,2256.0,2107.0
220,1998 to 1999,Rocky outcrop,0.0,0.0,0.0,0.0,0.0
221,1998 to 1999,Salt flat,11.0,0.0,11.0,43.0,4.0
222,1998 to 1999,Urban Infrastructure,11094.0,11094.0,0.0,9.0,-0.0
223,1998 to 1999,Wetland,0.0,0.0,0.0,0.0,-0.0
224,1999 to 2000,Agriculture,452502.0,452502.0,0.0,296037.0,1252.0
225,1999 to 2000,Beach and Dune,163.0,0.0,163.0,113.0,2.0
226,1999 to 2000,Forest Plantation,7940.0,7940.0,0.0,7061.0,1673.0
227,1999 to 2000,Grassland,64342.0,0.0,64342.0,89450.0,44730.0
228,1999 to 2000,Mining,16.0,16.0,0.0,5.0,2.0
229,1999 to 2000,Mosaic of Agriculture and Pasture,1.0,1.0,0.0,2.0,1.0
230,1999 to 2000,Natural Forest,837917.0,0.0,837917.0,161043.0,615.0
231,1999 to 2000,Non Observed,1.0,1.0,0.0,7.0,3.0
232,1999 to 2000,Other Non Forest Natural Formation,0.0,0.0,0.0,0.0,-0.0
233,1999 to 2000,Other Non Vegetated Area,43673.0,43673.0,0.0,57744.0,4911.0
234,1999 to 2000,Pasture,371958.0,371958.0,0.0,438133.0,246893.0
235,1999 to 2000,"River, Lake and Ocean",17759.0,17759.0,0.0,2560.0,814.0
236,1999 to 2000,Rocky outcrop,0.0,0.0,0.0,0.0,0.0
237,1999 to 2000,Salt flat,1285.0,0.0,1285.0,35.0,0.0
238,1999 to 2000,Urban Infrastructure,9856.0,9856.0,0.0,11.0,0.0
239,1999 to 2000,Wetland,0.0,0.0,0.0,0.0,0.0
240,2000 to 2001,Agriculture,354114.0,354114.0,0.0,408156.0,1320.0
241,2000 to 2001,Beach and Dune,188.0,188.0,0.0,142.0,3.0
242,2000 to 2001,Forest Plantation,10385.0,10385.0,0.0,5956.0,2210.0
243,2000 to 2001,Grassland,88745.0,0.0,88745.0,85657.0,34841.0
244,2000 to 2001,Mining,31.0,31.0,0.0,7.0,4.0
245,2000 to 2001,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,1.0,2.0
246,2000 to 2001,Natural Forest,676068.0,0.0,676068.0,153939.0,113.0
247,2000 to 2001,Non Observed,3.0,3.0,0.0,6.0,1.0
248,2000 to 2001,Other Non Forest Natural Formation,0.0,0.0,0.0,0.0,0.0
249,2000 to 2001,Other Non Vegetated Area,60638.0,60638.0,0.0,46558.0,25820.0
250,2000 to 2001,Pasture,330971.0,330971.0,0.0,525684.0,191585.0
251,2000 to 2001,"River, Lake and Ocean",1979.0,1979.0,0.0,2670.0,6113.0
252,2000 to 2001,Rocky outcrop,0.0,0.0,0.0,0.0,0.0
253,2000 to 2001,Salt flat,330.0,0.0,330.0,19.0,1.0
254,2000 to 2001,Urban Infrastructure,6832.0,6832.0,0.0,9.0,0.0
255,2000 to 2001,Wetland,0.0,0.0,0.0,0.0,0.0
256,2001 to 2002,Agriculture,688689.0,688689.0,0.0,239723.0,1042.0
257,2001 to 2002,Beach and Dune,205.0,205.0,0.0,121.0,3.0
258,2001 to 2002,Forest Plantation,20390.0,20390.0,0.0,5425.0,2293.0
259,2001 to 2002,Grassland,98690.0,0.0,98690.0,69479.0,40531.0
260,2001 to 2002,Mining,76.0,76.0,0.0,6.0,3.0
261,2001 to 2002,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,1.0,2.0
262,2001 to 2002,Natural Forest,800185.0,0.0,800185.0,121519.0,5.0
263,2001 to 2002,Non Observed,3.0,3.0,0.0,6.0,2.0
264,2001 to 2002,Other Non Forest Natural Formation,0.0,0.0,0.0,0.0,0.0
265,2001 to 2002,Other Non Vegetated Area,27155.0,0.0,27155.0,29270.0,54586.0
266,2001 to 2002,Pasture,135632.0,135632.0,0.0,366805.0,439065.0
267,2001 to 2002,"River, Lake and Ocean",75810.0,75810.0,0.0,1285.0,113.0
268,2001 to 2002,Rocky outcrop,0.0,0.0,0.0,0.0,0.0
269,2001 to 2002,Salt flat,187.0,0.0,187.0,19.0,0.0
270,2001 to 2002,Urban Infrastructure,5413.0,5413.0,0.0,10.0,0.0
271,2001 to 2002,Wetland,0.0,0.0,0.0,0.0,0.0
